Territory_code,Plant_code,Brand_code,Package,Week_End_Date,Sum of Plan,fact,row_id
A,a,AD,PET 1.0,2024-04-05,75.0,0.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-04-12,77.0,102.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-04-19,109.0,84.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-04-26,109.0,141.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-05-03,42.64350378513336,27.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-05-10,65.38670492172241,74.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-05-17,66.65749955177309,89.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-05-24,97.77176856994627,81.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-05-31,106.7269320487976,77.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-06-07,51.52888095378876,0.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-06-14,90.43697834014893,134.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-06-21,82.2154324054718,187.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-06-28,101.94713973999023,68.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-07-05,197.32137298583984,102.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-07-12,98.66068649291992,125.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-07-19,106.0,111.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-07-26,105.9071673154831,87.01,A_a_AD_PET 1.0
